year_id,name,type
1990,1990,['decomposition']
1991,1991,[]
1992,1992,[]
1993,1993,[]
1994,1994,[]
1995,1995,['decomposition']
1996,1996,[]
1997,1997,[]
1998,1998,[]
1999,1999,[]
2000,2000,['decomposition']
2001,2001,[]
2002,2002,[]
2003,2003,[]
2004,2004,[]
2005,2005,['decomposition']
2006,2006,[]
2007,2007,[]
2008,2008,[]
2009,2009,[]
2010,2010,['decomposition']
2011,2011,[]
2012,2012,[]
2013,2013,[]
2014,2014,[]
2015,2015,['decomposition']
2016,2016,"['decomposition', 'transition']"
2017,2017,['forecast']
2018,2018,['forecast']
2019,2019,['forecast']
2020,2020,"['decomposition', 'forecast']"
2021,2021,['forecast']
2022,2022,['forecast']
2023,2023,['forecast']
2024,2024,['forecast']
2025,2025,"['decomposition', 'forecast']"
2026,2026,['forecast']
2027,2027,['forecast']
2028,2028,['forecast']
2029,2029,['forecast']
2030,2030,"['decomposition', 'forecast']"
2031,2031,['forecast']
2032,2032,['forecast']
2033,2033,['forecast']
2034,2034,['forecast']
2035,2035,"['decomposition', 'forecast']"
2036,2036,['forecast']
2037,2037,['forecast']
2038,2038,['forecast']
2039,2039,['forecast']
2040,2040,"['decomposition', 'forecast']"
